feature_name;explanation
sellingprice_min_Nike;Selling price statistics grouped by brand_name
sellingprice_min_Olalook;Selling price statistics grouped by brand_name
sellingprice_min_Oysho;Selling price statistics grouped by brand_name
sellingprice_min_Penti;Selling price statistics grouped by brand_name
sellingprice_min_Pierre Cardin;Selling price statistics grouped by brand_name
sellingprice_min_Pull & Bear;Selling price statistics grouped by brand_name
sellingprice_min_Puma;Selling price statistics grouped by brand_name
sellingprice_min_SOHO;Selling price statistics grouped by brand_name
sellingprice_min_Sateen;Selling price statistics grouped by brand_name
sellingprice_min_Stradivarius;Selling price statistics grouped by brand_name
sellingprice_min_TRENDYOL MAN;Selling price statistics grouped by brand_name
sellingprice_min_TRENDYOLMİLLA;Selling price statistics grouped by brand_name
sellingprice_min_Terapi Men;Selling price statistics grouped by brand_name
sellingprice_min_Tonny Black;Selling price statistics grouped by brand_name
sellingprice_min_Trend Alaçatı Stili;Selling price statistics grouped by brand_name
sellingprice_min_U.S. Polo Assn.;Selling price statistics grouped by brand_name
sellingprice_min_XENA;Selling price statistics grouped by brand_name
sellingprice_min_Xiaomi;Selling price statistics grouped by brand_name
sellingprice_min_Yaya  by Hotiç;Selling price statistics grouped by brand_name
sellingprice_min_adidas;Selling price statistics grouped by brand_name
sellingprice_min_armonika;Selling price statistics grouped by brand_name
sellingprice_min_other_brand_name;Selling price statistics grouped by brand_name
sellingprice_max_ALTINYILDIZ CLASSICS;Selling price statistics grouped by brand_name
sellingprice_max_Addax;Selling price statistics grouped by brand_name
sellingprice_max_Apple;Selling price statistics grouped by brand_name
sellingprice_max_Aqua Di Polo 1987;Selling price statistics grouped by brand_name
sellingprice_max_Avva;Selling price statistics grouped by brand_name
sellingprice_max_Bambi;Selling price statistics grouped by brand_name
sellingprice_max_Bershka;Selling price statistics grouped by brand_name
sellingprice_max_Cool & Sexy;Selling price statistics grouped by brand_name
sellingprice_max_DeFacto;Selling price statistics grouped by brand_name
sellingprice_max_Dilvin;Selling price statistics grouped by brand_name
sellingprice_max_Elle Shoes;Selling price statistics grouped by brand_name
sellingprice_max_English Home;Selling price statistics grouped by brand_name
sellingprice_max_HUMMEL;Selling price statistics grouped by brand_name
sellingprice_max_Happiness İst.;Selling price statistics grouped by brand_name
sellingprice_max_Karaca;Selling price statistics grouped by brand_name
sellingprice_max_Kitchen Life;Selling price statistics grouped by brand_name
sellingprice_max_Koton;Selling price statistics grouped by brand_name
sellingprice_max_Koton Kids;Selling price statistics grouped by brand_name
sellingprice_max_LC Waikiki;Selling price statistics grouped by brand_name
sellingprice_max_MANGO Woman;Selling price statistics grouped by brand_name
sellingprice_max_MUGGO;Selling price statistics grouped by brand_name
sellingprice_max_Madame Coco;Selling price statistics grouped by brand_name
sellingprice_max_Mavi;Selling price statistics grouped by brand_name
sellingprice_max_Nike;Selling price statistics grouped by brand_name
sellingprice_max_Olalook;Selling price statistics grouped by brand_name
sellingprice_max_Oysho;Selling price statistics grouped by brand_name
sellingprice_max_Penti;Selling price statistics grouped by brand_name
sellingprice_max_Pierre Cardin;Selling price statistics grouped by brand_name
sellingprice_max_Pull & Bear;Selling price statistics grouped by brand_name
sellingprice_max_Puma;Selling price statistics grouped by brand_name
sellingprice_max_SOHO;Selling price statistics grouped by brand_name
sellingprice_max_Sateen;Selling price statistics grouped by brand_name
sellingprice_max_Stradivarius;Selling price statistics grouped by brand_name
sellingprice_max_TRENDYOL MAN;Selling price statistics grouped by brand_name
sellingprice_max_TRENDYOLMİLLA;Selling price statistics grouped by brand_name
sellingprice_max_Terapi Men;Selling price statistics grouped by brand_name
sellingprice_max_Tonny Black;Selling price statistics grouped by brand_name
sellingprice_max_Trend Alaçatı Stili;Selling price statistics grouped by brand_name
sellingprice_max_U.S. Polo Assn.;Selling price statistics grouped by brand_name
sellingprice_max_XENA;Selling price statistics grouped by brand_name
sellingprice_max_Xiaomi;Selling price statistics grouped by brand_name
sellingprice_max_Yaya  by Hotiç;Selling price statistics grouped by brand_name
sellingprice_max_adidas;Selling price statistics grouped by brand_name
sellingprice_max_armonika;Selling price statistics grouped by brand_name
sellingprice_max_other_brand_name;Selling price statistics grouped by brand_name
sellingprice_count_Branded Shoes A;Selling price statistics grouped by businessunit
sellingprice_count_Branded Shoes B;Selling price statistics grouped by businessunit
sellingprice_count_Cep Telefonu & Aksesuarları;Selling price statistics grouped by businessunit
sellingprice_count_Cilt Bakım_x;Selling price statistics grouped by businessunit
sellingprice_count_Erkek A;Selling price statistics grouped by brand_name
sellingprice_count_Erkek B;Selling price statistics grouped by businessunit
sellingprice_count_Ev Dekorasyon_x;Selling price statistics grouped by businessunit
sellingprice_count_Ev Giyim_x;Selling price statistics grouped by businessunit
sellingprice_count_Ev Tekstil;Selling price statistics grouped by businessunit
sellingprice_count_GAS Denim;Selling price statistics grouped by businessunit
sellingprice_count_Hobi;Selling price statistics grouped by businessunit
sellingprice_count_Kadın A;Selling price statistics grouped by businessunit
sellingprice_count_Kadın B;Selling price statistics grouped by businessunit
sellingprice_count_Kids & Baby Fashion;Selling price statistics grouped by businessunit
sellingprice_count_Makyaj_x;Selling price statistics grouped by businessunit
sellingprice_count_PL Woman;Selling price statistics grouped by businessunit
sellingprice_count_Salon &Mutfak Mobilya;Selling price statistics grouped by businessunit
sellingprice_count_Sağlık_x;Selling price statistics grouped by businessunit
sellingprice_count_Sofra & Mutfak_x;Selling price statistics grouped by businessunit
sellingprice_count_Sportswear;Selling price statistics grouped by businessunit
sellingprice_count_Takı;Selling price statistics grouped by businessunit
sellingprice_count_other_businessunit;Selling price statistics grouped by businessunit
sellingprice_count_Çanta & Valiz;Selling price statistics grouped by businessunit
sellingprice_count_İç Giyim_x;Selling price statistics grouped by businessunit
sellingprice_sum_Branded Shoes A;Selling price statistics grouped by businessunit
sellingprice_sum_Branded Shoes B;Selling price statistics grouped by businessunit
sellingprice_sum_Cep Telefonu & Aksesuarları;Selling price statistics grouped by businessunit
sellingprice_sum_Cilt Bakım_x;Selling price statistics grouped by businessunit
sellingprice_sum_Erkek A;Selling price statistics grouped by businessunit
sellingprice_sum_Erkek B;Selling price statistics grouped by businessunit
sellingprice_sum_Ev Dekorasyon_x;Selling price statistics grouped by businessunit
sellingprice_sum_Ev Giyim_x;Selling price statistics grouped by businessunit
sellingprice_sum_Ev Tekstil;Selling price statistics grouped by businessunit
sellingprice_sum_GAS Denim;Selling price statistics grouped by businessunit
sellingprice_sum_Hobi;Selling price statistics grouped by businessunit
sellingprice_sum_Kadın A;Selling price statistics grouped by businessunit
sellingprice_sum_Kadın B;Selling price statistics grouped by businessunit
sellingprice_sum_Kids & Baby Fashion;Selling price statistics grouped by businessunit
sellingprice_sum_Makyaj_x;Selling price statistics grouped by businessunit
sellingprice_sum_PL Woman;Selling price statistics grouped by businessunit
sellingprice_sum_Salon &Mutfak Mobilya;Selling price statistics grouped by businessunit
sellingprice_sum_Sağlık_x;Selling price statistics grouped by businessunit
sellingprice_sum_Sofra & Mutfak_x;Selling price statistics grouped by businessunit
sellingprice_sum_Sportswear;Selling price statistics grouped by businessunit
sellingprice_sum_Takı;Selling price statistics grouped by businessunit
sellingprice_sum_other_businessunit;Selling price statistics grouped by businessunit
sellingprice_sum_Çanta & Valiz;Selling price statistics grouped by businessunit
sellingprice_sum_İç Giyim_x;Selling price statistics grouped by businessunit
sellingprice_mean_Branded Shoes A;Selling price statistics grouped by businessunit
sellingprice_mean_Branded Shoes B;Selling price statistics grouped by businessunit
sellingprice_mean_Cep Telefonu & Aksesuarları;Selling price statistics grouped by businessunit
sellingprice_mean_Cilt Bakım_x;Selling price statistics grouped by businessunit
sellingprice_mean_Erkek A;Selling price statistics grouped by businessunit
sellingprice_mean_Erkek B;Selling price statistics grouped by businessunit
sellingprice_mean_Ev Dekorasyon_x;Selling price statistics grouped by businessunit
sellingprice_mean_Ev Giyim_x;Selling price statistics grouped by businessunit
sellingprice_mean_Ev Tekstil;Selling price statistics grouped by businessunit
sellingprice_mean_GAS Denim;Selling price statistics grouped by businessunit
sellingprice_mean_Hobi;Selling price statistics grouped by businessunit
sellingprice_mean_Kadın A;Selling price statistics grouped by businessunit
sellingprice_mean_Kadın B;Selling price statistics grouped by businessunit
sellingprice_mean_Kids & Baby Fashion;Selling price statistics grouped by businessunit
sellingprice_mean_Makyaj_x;Selling price statistics grouped by businessunit
sellingprice_mean_PL Woman;Selling price statistics grouped by businessunit
sellingprice_mean_Salon &Mutfak Mobilya;Selling price statistics grouped by businessunit
sellingprice_mean_Sağlık_x;Selling price statistics grouped by businessunit
sellingprice_mean_Sofra & Mutfak_x;Selling price statistics grouped by businessunit
sellingprice_mean_Sportswear;Selling price statistics grouped by businessunit
sellingprice_mean_Takı;Selling price statistics grouped by businessunit
sellingprice_mean_other_businessunit;Selling price statistics grouped by businessunit
sellingprice_mean_Çanta & Valiz;Selling price statistics grouped by businessunit
sellingprice_mean_İç Giyim_x;Selling price statistics grouped by businessunit
sellingprice_median_Branded Shoes A;Selling price statistics grouped by businessunit
sellingprice_median_Branded Shoes B;Selling price statistics grouped by businessunit
sellingprice_median_Cep Telefonu & Aksesuarları;Selling price statistics grouped by businessunit
sellingprice_median_Cilt Bakım_x;Selling price statistics grouped by businessunit
sellingprice_median_Erkek A;Selling price statistics grouped by businessunit
sellingprice_median_Erkek B;Selling price statistics grouped by businessunit
sellingprice_median_Ev Dekorasyon_x;Selling price statistics grouped by businessunit
sellingprice_median_Ev Giyim_x;Selling price statistics grouped by businessunit
sellingprice_median_Ev Tekstil;Selling price statistics grouped by businessunit
sellingprice_median_GAS Denim;Selling price statistics grouped by businessunit
sellingprice_median_Hobi;Selling price statistics grouped by businessunit
sellingprice_median_Kadın A;Selling price statistics grouped by businessunit
sellingprice_median_Kadın B;Selling price statistics grouped by businessunit
sellingprice_median_Kids & Baby Fashion;Selling price statistics grouped by businessunit
sellingprice_median_Makyaj_x;Selling price statistics grouped by businessunit
sellingprice_median_PL Woman;Selling price statistics grouped by businessunit
sellingprice_median_Salon &Mutfak Mobilya;Selling price statistics grouped by businessunit
sellingprice_median_Sağlık_x;Selling price statistics grouped by businessunit
sellingprice_median_Sofra & Mutfak_x;Selling price statistics grouped by businessunit
sellingprice_median_Sportswear;Selling price statistics grouped by businessunit
sellingprice_median_Takı;Selling price statistics grouped by businessunit
sellingprice_median_other_businessunit;Selling price statistics grouped by businessunit
sellingprice_median_Çanta & Valiz;Selling price statistics grouped by businessunit
sellingprice_median_İç Giyim_x;Selling price statistics grouped by businessunit
sellingprice_min_Branded Shoes A;Selling price statistics grouped by businessunit
sellingprice_min_Branded Shoes B;Selling price statistics grouped by businessunit
sellingprice_min_Cep Telefonu & Aksesuarları;Selling price statistics grouped by businessunit
sellingprice_min_Cilt Bakım_x;Selling price statistics grouped by businessunit
sellingprice_min_Erkek A;Selling price statistics grouped by businessunit
sellingprice_min_Erkek B;Selling price statistics grouped by businessunit
sellingprice_min_Ev Dekorasyon_x;Selling price statistics grouped by businessunit
sellingprice_min_Ev Giyim_x;Selling price statistics grouped by businessunit
sellingprice_min_Ev Tekstil;Selling price statistics grouped by businessunit
sellingprice_min_GAS Denim;Selling price statistics grouped by businessunit
sellingprice_min_Hobi;Selling price statistics grouped by businessunit
sellingprice_min_Kadın A;Selling price statistics grouped by businessunit
sellingprice_min_Kadın B;Selling price statistics grouped by businessunit
sellingprice_min_Kids & Baby Fashion;Selling price statistics grouped by businessunit
sellingprice_min_Makyaj_x;Selling price statistics grouped by businessunit
sellingprice_min_PL Woman;Selling price statistics grouped by businessunit
sellingprice_min_Salon &Mutfak Mobilya;Selling price statistics grouped by businessunit
sellingprice_min_Sağlık_x;Selling price statistics grouped by businessunit
sellingprice_min_Sofra & Mutfak_x;Selling price statistics grouped by businessunit
sellingprice_min_Sportswear;Selling price statistics grouped by businessunit
sellingprice_min_Takı;Selling price statistics grouped by businessunit
sellingprice_min_other_businessunit;Selling price statistics grouped by businessunit
sellingprice_min_Çanta & Valiz;Selling price statistics grouped by businessunit
sellingprice_min_İç Giyim_x;Selling price statistics grouped by businessunit
sellingprice_max_Branded Shoes A;Selling price statistics grouped by businessunit
sellingprice_max_Branded Shoes B;Selling price statistics grouped by businessunit
sellingprice_max_Cep Telefonu & Aksesuarları;Selling price statistics grouped by businessunit
sellingprice_max_Cilt Bakım_x;Selling price statistics grouped by businessunit
sellingprice_max_Erkek A;Selling price statistics grouped by businessunit
sellingprice_max_Erkek B;Selling price statistics grouped by businessunit
sellingprice_max_Ev Dekorasyon_x;Selling price statistics grouped by businessunit
sellingprice_max_Ev Giyim_x;Selling price statistics grouped by businessunit
sellingprice_max_Ev Tekstil;Selling price statistics grouped by businessunit
sellingprice_max_GAS Denim;Selling price statistics grouped by businessunit
sellingprice_max_Hobi;Selling price statistics grouped by businessunit
sellingprice_max_Kadın A;Selling price statistics grouped by businessunit
sellingprice_max_Kadın B;Selling price statistics grouped by businessunit
sellingprice_max_Kids & Baby Fashion;Selling price statistics grouped by businessunit
sellingprice_max_Makyaj_x;Selling price statistics grouped by businessunit
sellingprice_max_PL Woman;Selling price statistics grouped by businessunit
sellingprice_max_Salon &Mutfak Mobilya;Selling price statistics grouped by businessunit
sellingprice_max_Sağlık_x;Selling price statistics grouped by businessunit
sellingprice_max_Sofra & Mutfak_x;Selling price statistics grouped by businessunit
sellingprice_max_Sportswear;Selling price statistics grouped by businessunit
sellingprice_max_Takı;Selling price statistics grouped by businessunit
sellingprice_max_other_businessunit;Selling price statistics grouped by businessunit
